index,player,nation,pos,squad,age,born,avg_90s_played,sca,Sca_90,pass_live,pass_dead,to,sh,fld,def,gca,Gca_90,pass_live_goa,pass_dead_goal,to_goal,sh_goal,fld_goal,def_goal,unique_id
346,Jacob Murphy,eng ENG,FW,Newcastle Utd,27-356,1995,6.2,18,2.9,16,0,1,0,1,0,2,0.32,2,0,0,0,0,0,de112b84
347,Enock Mwepu,zm ZAM,FWMF,Brighton,25-045,1998,2.4,7,2.96,6,0,1,0,0,0,2,0.85,1,0,1,0,0,0,1d5cab82
348,Vitaliy Mykolenko,ua UKR,DFMF,Everton,23-262,1999,20.8,33,1.59,29,1,0,2,1,0,2,0.1,1,0,0,1,0,0,30d4a2e5
349,Keylor Navas,cr CRC,GK,Nott'ham Forest,36-062,1986,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ecada4fc
350,Wilfred Ndidi,ng NGA,MFDF,Leicester City,26-061,1996,10,7,0.7,7,0,0,0,0,0,1,0.1,1,0,0,0,0,0,6b47c5db
351,Reiss Nelson,eng ENG,FW,Arsenal,23-067,1999,0.7,4,5.54,2,0,0,1,1,0,2,2.77,1,0,0,1,0,0,c5bdb6e3
352,Neto,br BRA,GK,Bournemouth,33-211,1989,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a9dc785c
353,Pedro Neto,pt POR,FWMF,Wolves,22-343,2000,6.7,27,4.06,15,4,2,2,3,1,3,0.45,3,0,0,0,0,0,7ba2eaa9
354,Rúben Neves,pt POR,MF,Wolves,25-339,1997,21,45,2.14,34,2,2,2,2,3,2,0.1,2,0,0,0,0,0,44bfb6c5
355,Moussa Niakhate,fr FRA,DF,Nott'ham Forest,26-344,1996,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242715
356,Rasmus Nissen,dk DEN,DF,Leeds United,25-219,1997,12.6,20,1.59,17,1,1,1,0,0,2,0.16,2,0,0,0,0,0,39769cff
357,Eddie Nketiah,eng ENG,FW,Arsenal,23-261,1999,8.7,20,2.31,11,0,5,2,2,0,1,0.12,1,0,0,0,0,0,a53649b7
358,Matheus Nunes,pt POR,MF,Wolves,24-172,1998,15.6,37,2.37,32,1,1,2,1,0,2,0.13,2,0,0,0,0,0,e6af02e0
359,Darwin Núñez,uy URU,FW,Liverpool,23-236,1999,11.8,41,3.49,24,1,4,7,5,0,2,0.17,2,0,0,0,0,0,4d77b365
360,Ethan Nwaneri,eng ENG,FW,Arsenal,15-331,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7f94982c
361,Christian Nørgaard,dk DEN,MF,Brentford,28-342,1994,10.7,21,1.97,17,0,1,3,0,0,5,0.47,3,0,0,2,0,0,df0a4c90
362,Lewis O'Brien,eng ENG,MF,Nott'ham Forest,24-124,1998,6.5,21,3.24,14,0,1,1,3,2,0,0,0,0,0,0,0,0,089667a5
363,Angelo Ogbonna,it ITA,DF,West Ham,34-268,1988,5.3,3,0.57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,74b2cd7e
364,Michael Olise,fr FRA,MFFW,Crystal Palace,21-065,2001,15.3,65,4.25,35,17,5,3,3,2,4,0.26,1,3,0,0,0,0,c4486bac
365,Robin Olsen,se SWE,GK,Aston Villa,33-038,1990,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e7ee38c3
366,Amadou Onana,be BEL,MF,Everton,21-183,2001,17.4,22,1.27,16,0,1,1,3,1,1,0.06,1,0,0,0,0,0,828657ff
367,Josh Onomah,eng ENG,MF,Fulham,25-294,1997,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6612cd8c
368,Paul Onuachu,ng NGA,FW,Southampton,28-263,1994,1.3,4,3.05,4,0,0,0,0,0,0,0,0,0,0,0,0,0,c06d1086
369,Frank Onyeka,ng NGA,MF,Brentford,25-045,1998,4.9,12,2.44,8,0,0,1,3,0,4,0.81,3,0,0,0,1,0,2944f86f
370,Mislav Oršić,hr CRO,MF,Southampton,30-048,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ee950928
371,Dango Ouattara,bf BFA,MF,Bournemouth,21-004,2002,2.9,9,3.14,6,0,0,2,1,0,2,0.7,1,0,0,1,0,0,2f9e4435
372,Alex Oxlade-Chamberlain,eng ENG,FWMF,Liverpool,29-184,1993,3.5,9,2.59,8,0,0,1,0,0,0,0,0,0,0,0,0,0,38c7feef
373,David Ozoh,,FW,Crystal Palace,17-260,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,d00d45ab
374,João Palhinha,pt POR,MF,Fulham,27-221,1995,21.7,19,0.87,12,0,0,3,0,4,0,0,0,0,0,0,0,0,a78ff07f
375,Cole Palmer,eng ENG,FWMF,Manchester City,20-285,2002,1.3,5,3.78,4,0,1,0,0,0,0,0,0,0,0,0,0,0,dc7f8a28
376,Emerson Palmieri,it ITA,DFMF,West Ham,28-196,1994,6.1,16,2.63,14,0,1,1,0,0,0,0,0,0,0,0,0,0,e0bc6fdc
377,Lucas Paquetá,br BRA,MF,West Ham,25-172,1997,12,37,3.07,26,1,1,5,3,1,4,0.33,2,0,0,2,0,0,9b6f7fd5
378,Thomas Partey,gh GHA,MF,Arsenal,29-247,1993,17.1,52,3.04,43,2,1,2,1,3,4,0.23,4,0,0,0,0,0,529f49ab
379,Nathan Patterson,sct SCO,DFMF,Everton,21-122,2001,11,17,1.55,13,1,0,0,2,1,0,0,0,0,0,0,0,0,230f0471
380,Ben Pearson,eng ENG,MF,Bournemouth,28-042,1995,3.2,2,0.63,1,0,0,1,0,0,0,0,0,0,0,0,0,0,a6b461e7
381,Facundo Pellistri,uy URU,FW,Manchester Utd,21-057,2001,0.4,1,2.81,1,0,0,0,0,0,1,2.81,1,0,0,0,0,0,ac7e7b1c
382,Andreas Pereira,br BRA,MF,Fulham,27-045,1996,21.2,86,4.06,39,39,0,4,4,0,8,0.38,3,5,0,0,0,0,6639e500
383,Ricardo Pereira,pt POR,MFFW,Leicester City,29-132,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75a72a99
384,Ayoze Pérez,es ESP,MFFW,Leicester City,29-201,1993,4.2,14,3.29,11,2,0,0,1,0,2,0.47,1,0,0,0,1,0,819aa8e7
385,Ivan Perišić,hr CRO,DFMF,Tottenham,34-013,1989,15.8,47,2.98,32,14,0,1,0,0,5,0.32,2,3,0,0,0,0,6fe90922
386,Romain Perraud,fr FRA,DF,Southampton,25-146,1997,13.1,32,2.44,19,1,4,6,1,1,5,0.38,3,0,1,0,1,0,6dfd8f05
387,Kalvin Phillips,eng ENG,MF,Manchester City,27-075,1995,0.2,1,4.29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4f565d77
388,Nathaniel Phillips,eng ENG,DF,Liverpool,25-331,1997,0.7,1,1.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,515ebe8d
389,Jordan Pickford,eng ENG,GK,Everton,28-345,1994,21,7,0.33,4,3,0,0,0,0,1,0.05,1,0,0,0,0,0,4806ec67
390,Ethan Pinnock,jm JAM,DF,Brentford,29-262,1993,14,9,0.64,5,2,0,2,0,0,2,0.14,2,0,0,0,0,0,e541326e
391,Daniel Podence,pt POR,FWMF,Wolves,27-117,1995,14.6,54,3.7,40,3,3,7,1,0,2,0.14,1,0,1,0,0,0,7fcc71d8
392,Nick Pope,eng ENG,GK,Newcastle Utd,30-302,1992,22,1,0.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4b40d9ca
393,Pedro Porro,es ESP,DF,Tottenham,23-155,1999,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27d0a506
394,Dennis Praet,be BEL,MFFW,Leicester City,28-277,1994,4.2,5,1.19,4,1,0,0,0,0,0,0,0,0,0,0,0,0,86695068
395,Isaac Price,nir NIR,MF,Everton,19-142,2003,0.4,2,5.45,1,0,1,0,0,0,0,0,0,0,0,0,0,0,b9403c99
396,Christian Pulisic,us USA,FWDF,Chelsea,24-150,1998,6.8,20,2.96,18,0,0,2,0,0,3,0.44,3,0,0,0,0,0,1bf33a9a
397,Aaron Ramsdale,eng ENG,GK,Arsenal,24-277,1998,21,2,0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,466fb2c5
398,Jacob Ramsey,eng ENG,MF,Aston Villa,21-263,2001,14.6,38,2.61,31,0,1,1,4,1,3,0.21,2,0,0,0,1,0,1544f145
399,Marcus Rashford,eng ENG,FW,Manchester Utd,25-107,1997,20.9,55,2.63,37,0,8,7,2,1,8,0.38,5,0,2,0,1,0,a1d5bd30
400,David Raya,es ESP,GK,Brentford,27-153,1995,22,7,0.32,4,3,0,0,0,0,1,0.05,0,1,0,0,0,0,98ea5115
401,Tim Ream,us USA,DF,Fulham,35-133,1987,23,19,0.83,18,0,0,0,0,1,0,0,0,0,0,0,0,0,28b40c9c
402,Nathan Redmond,eng ENG,DF,Southampton,28-346,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ab651565
403,Harrison Reed,eng ENG,MF,Fulham,28-019,1995,20.2,42,2.08,36,2,2,1,1,0,3,0.15,2,0,1,0,0,0,803ae100
404,Bobby Reid,jm JAM,FWDF,Fulham,30-013,1993,20.2,41,2.03,25,1,2,4,7,2,3,0.15,1,0,0,1,0,1,0f7533cd
405,Declan Rice,eng ENG,MF,West Ham,24-032,1999,22,66,3,57,2,1,1,2,3,3,0.14,3,0,0,0,0,0,1c7012b8
406,Chris Richards,us USA,DF,Crystal Palace,22-324,2000,3.9,2,0.52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0a3d6d2b
407,Richarlison,br BRA,MFFW,Tottenham,25-281,1997,5.6,19,3.4,13,0,0,1,5,0,3,0.54,2,0,0,0,1,0,fa031b34
408,Jaïro Riedewald,nl NED,DFFW,Crystal Palace,26-159,1996,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7a1f2c08
409,Matt Ritchie,sct SCO,FW,Newcastle Utd,33-158,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71ef519e
410,Andrew Robertson,sct SCO,DF,Liverpool,28-341,1994,15.7,61,3.89,39,15,1,4,1,1,8,0.51,6,2,0,0,0,0,2e4f5f03
411,Antonee Robinson,us USA,DF,Fulham,25-191,1997,19.3,37,1.92,35,1,1,0,0,0,2,0.1,2,0,0,0,0,0,289601000000
412,Marc Roca,es ESP,MF,Leeds United,26-081,1996,16.2,25,1.54,19,4,0,0,1,1,2,0.12,1,0,0,0,1,0,da27e268
413,Marek Rodák,sk SVK,GK,Fulham,26-064,1996,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17acc2ed
414,Rodri,es ESP,MF,Manchester City,26-238,1996,20.3,71,3.51,65,0,1,3,1,1,9,0.44,9,0,0,0,0,0,6434f10d
415,Rodrigo,es ESP,FWMF,Leeds United,31-346,1991,14.4,30,2.08,21,0,3,6,0,0,2,0.14,1,0,0,1,0,0,1fb1c435
416,Mads Roerslev,dk DEN,DF,Brentford,23-236,1999,10.4,12,1.16,12,0,0,0,0,0,1,0.1,1,0,0,0,0,0,57c94db2
417,Cristian Romero,ar ARG,DF,Tottenham,24-294,1998,13.3,8,0.6,7,0,0,0,0,1,0,0,0,0,0,0,0,0,a3d94a58
418,Oriol Romeu,es ESP,MF,Southampton,31-144,1991,0.8,3,3.65,2,0,0,0,1,0,0,0,0,0,0,0,0,0,4b511457
419,Cristiano Ronaldo,pt POR,FW,Manchester Utd,38-010,1985,5.8,10,1.71,9,0,0,0,1,0,0,0,0,0,0,0,0,0,dea698d9
420,Connor Ronan,ie IRL,MF,Wolves,24-346,1998,0,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1b804500
421,Salomón Rondón,ve VEN,FW,Everton,33-152,1989,1.2,4,3.3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,b318a643
422,Joe Rothwell,eng ENG,MFDF,Bournemouth,28-035,1995,1.7,5,2.87,4,1,0,0,0,0,0,0,0,0,0,0,0,0,10a10454
423,Georginio Rutter,fr FRA,FW,Leeds United,20-301,2002,0.9,2,2.14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,c64c01fc
424,José Sá,pt POR,GK,Wolves,30-029,1993,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903b6e8b
425,Marcel Sabitzer,at AUT,MF,Manchester Utd,28-335,1994,2,6,2.98,6,0,0,0,0,0,1,0.5,1,0,0,0,0,0,e280527c
426,Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,25-340,1997,7.1,31,4.39,22,0,5,2,2,0,6,0.85,4,0,1,0,1,0,2b16cb1a
427,Bukayo Saka,eng ENG,FW,Arsenal,21-163,2001,20,96,4.8,67,14,2,8,4,1,16,0.8,12,3,0,1,0,0,bc7dc64d
428,Mohamed Salah,eg EGY,FW,Liverpool,30-245,1992,20.7,79,3.81,60,0,6,8,3,2,10,0.48,6,0,0,2,1,1,e342ad68
429,William Saliba,fr FRA,DF,Arsenal,21-328,2001,20.8,10,0.48,8,2,0,0,0,0,1,0.05,1,0,0,0,0,0,972aeb2a
430,Mohammed Salisu,gh GHA,DF,Southampton,23-304,1999,21,23,1.1,16,5,1,1,0,0,2,0.1,1,1,0,0,0,0,0b33f6ad
431,Albert Sambi Lokonga,be BEL,MF,Arsenal,23-116,1999,2.2,4,1.82,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1b4f1169
432,Albert Sambi Lokonga,be BEL,MF,Crystal Palace,23-116,1999,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1b4f1169
433,Davinson Sánchez,co COL,DF,Tottenham,26-248,1996,6.4,4,0.63,4,0,0,0,0,0,0,0,0,0,0,0,0,0,da7b447d
434,Robert Sánchez,es ESP,GK,Brighton,25-089,1997,21,1,0.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6a713852
435,Jadon Sancho,eng ENG,FW,Manchester Utd,22-327,2000,9,39,4.35,36,0,3,0,0,0,6,0.67,4,0,2,0,0,0,dbf053da
436,Morgan Sanson,fr FRA,MF,Aston Villa,28-181,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e7f1353
437,Pablo Sarabia,es ESP,FW,Wolves,30-280,1992,2.2,6,2.78,2,2,0,2,0,0,0,0,0,0,0,0,0,0,9744ff80
438,Jeremy Sarmiento,ec ECU,MF,Brighton,20-244,2002,1.8,8,4.36,4,0,1,2,1,0,2,1.09,2,0,0,0,0,0,ac0d576d
439,Gianluca Scamacca,it ITA,FW,West Ham,24-045,1999,10.3,24,2.33,20,0,1,2,0,1,1,0.1,1,0,0,0,0,0,8790f988
440,Gustavo Scarpa,br BRA,MFFW,Nott'ham Forest,29-041,1994,1.8,9,5.06,3,1,1,1,2,1,0,0,0,0,0,0,0,0,2964fd20
441,Kevin Schade,de GER,FWMF,Brentford,21-080,2001,0.3,1,3.33,1,0,0,0,0,0,1,3.33,1,0,0,0,0,0,52afb588
442,Fabian Schär,ch SUI,DF,Newcastle Utd,31-057,1991,20.8,37,1.78,26,0,2,6,1,2,2,0.1,1,0,0,0,0,1,c8aa95da
443,Jeffrey Schlupp,gh GHA,MF,Crystal Palace,30-054,1992,18.1,26,1.44,22,0,1,2,1,0,3,0.17,2,0,0,0,1,0,3312f911
444,Nélson Semedo,pt POR,DF,Wolves,29-091,1993,14.1,20,1.42,16,0,0,2,2,0,2,0.14,2,0,0,0,0,0,d04b94db
445,Antoine Semenyo,gh GHA,FWMF,Bournemouth,23-039,2000,1.1,4,3.53,1,0,1,1,1,0,0,0,0,0,0,0,0,0,efd2ec23
446,Marcos Senesi,ar ARG,DF,Bournemouth,25-281,1997,15.9,7,0.44,6,1,0,0,0,0,1,0.06,1,0,0,0,0,0,35141f4c
447,Ryan Sessegnon,eng ENG,DF,Tottenham,22-273,2000,9,23,2.55,16,0,0,5,1,1,2,0.22,1,0,0,1,0,0,6aa3e78b
448,Luke Shaw,eng ENG,DF,Manchester Utd,27-218,1995,17.7,41,2.32,35,3,0,1,2,0,6,0.34,6,0,0,0,0,0,9c94165b
449,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,30-353,1992,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3727dd3c
450,Jonjo Shelvey,eng ENG,MF,Nott'ham Forest,30-353,1992,0.4,3,7.71,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3727dd3c
451,Bernardo Silva,pt POR,MFFW,Manchester City,28-189,1994,16.7,56,3.36,46,1,4,1,3,1,10,0.6,9,0,0,0,1,0,3eb22ec9
452,Thiago Silva,br BRA,DF,Chelsea,38-146,1984,19.9,12,0.6,11,1,0,0,0,0,2,0.1,2,0,0,0,0,0,86e7deaf
453,Ellis Simms,eng ENG,FW,Everton,22-041,2001,0.9,2,2.34,2,0,0,0,0,0,1,1.17,1,0,0,0,0,0,26d3b5be
454,Luis Sinisterra,co COL,FW,Leeds United,23-243,1999,6,22,3.69,17,0,2,1,2,0,1,0.17,0,0,1,0,0,0,8e16dd48
455,Oliver Skipp,eng ENG,MF,Tottenham,22-152,2000,2.2,4,1.82,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6250083a
456,Adam Smith,eng ENG,DF,Bournemouth,31-292,1991,20.1,14,0.7,12,1,0,1,0,0,1,0.05,1,0,0,0,0,0,20b104bc
457,Emile Smith Rowe,eng ENG,MFFW,Arsenal,22-202,2000,0.6,3,5.09,2,1,0,0,0,0,0,0,0,0,0,0,0,0,17695062
458,Cédric Soares,pt POR,DF,Arsenal,31-168,1991,0.3,1,3.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,839c14e1
459,Cédric Soares,pt POR,DF,Fulham,31-168,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839c14e1
460,Dominic Solanke,eng ENG,FWMF,Bournemouth,25-154,1997,15.9,25,1.57,15,0,4,5,1,0,7,0.44,5,0,0,2,0,0,e77dc3b2
461,Manor Solomon,il ISR,FW,Fulham,23-206,1999,0.9,2,2.28,2,0,0,0,0,0,1,1.14,1,0,0,0,0,0,886f9aac
462,Tomáš Souček,cz CZE,MF,West Ham,27-353,1995,18.4,36,1.96,29,0,0,6,0,1,1,0.05,1,0,0,0,0,0,6613c819
463,Boubakary Soumaré,fr FRA,MF,Leicester City,23-353,1999,9.3,5,0.54,4,0,1,0,0,0,0,0,0,0,0,0,0,0,ae59b359
464,Harry Souttar,au AUS,DF,Leicester City,24-116,1998,2,1,0.5,1,0,0,0,0,0,1,0.5,1,0,0,0,0,0,0a6cb1b1
465,Çağlar Söyüncü,tr TUR,DF,Leicester City,26-268,1996,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21166ff4
466,Djed Spence,eng ENG,FWDF,Tottenham,22-190,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9bc9a519
467,Jack Stacey,eng ENG,DF,Bournemouth,26-315,1996,3.3,1,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,558807c0
468,Junior Stanislas,eng ENG,MF,Bournemouth,33-081,1989,0.7,4,5.9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6992791d
469,Jay Stansfield,eng ENG,FW,Fulham,20-083,2002,1,4,4.14,1,0,0,2,1,0,1,1.03,0,0,0,1,0,0,b2626673
470,Jack Stephens,eng ENG,DF,Southampton,29-019,1994,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6adbc307
471,Jack Stephens,eng ENG,DF,Bournemouth,29-019,1994,3,2,0.66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6adbc307
472,Raheem Sterling,eng ENG,FWMF,Chelsea,28-069,1994,12.7,40,3.14,36,0,1,1,2,0,2,0.16,2,0,0,0,0,0,b400bde0
473,John Stones,eng ENG,DF,Manchester City,28-263,1994,13.1,11,0.84,7,1,0,3,0,0,3,0.23,2,0,0,1,0,0,5eecec3d
474,Pascal Struijk,nl NED,DF,Leeds United,23-188,1999,18.6,28,1.5,21,3,0,3,0,1,2,0.11,0,0,0,2,0,0,f4d296e4
475,Kamaldeen Sulemana,gh GHA,FWMF,Southampton,21-000,2002,1.5,9,6,4,0,3,1,1,0,0,0,0,0,0,0,0,0,a62f8bf1
476,Crysencio Summerville,nl NED,FW,Leeds United,21-108,2001,8.5,26,3.07,16,0,0,2,6,2,2,0.24,1,0,0,0,1,0,df04eb4b
477,Sam Surridge,eng ENG,FW,Nott'ham Forest,24-202,1998,2.9,4,1.36,3,0,0,1,0,0,1,0.34,1,0,0,0,0,0,b017b770
478,Japhet Tanganga,eng ENG,DF,Tottenham,23-321,1999,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e9971f2d
479,Matt Targett,eng ENG,DF,Newcastle Utd,27-150,1995,4.7,13,2.75,10,3,0,0,0,0,0,0,0,0,0,0,0,0,e514ab62
480,James Tarkowski,eng ENG,DF,Everton,30-088,1992,22,12,0.55,11,0,0,1,0,0,0,0,0,0,0,0,0,0,15ea812b
481,Marcus Tavernier,eng ENG,MFFW,Bournemouth,23-330,1999,14.6,34,2.33,21,7,2,2,2,0,7,0.48,3,2,0,2,0,0,5c0da4a4
482,Tetê,br BRA,FW,Leicester City,23-000,2000,1.8,4,2.28,1,0,3,0,0,0,1,0.57,0,0,1,0,0,0,7120a04d
483,Kenny Tete,nl NED,DF,Fulham,27-129,1995,15.7,29,1.84,25,3,0,0,1,0,7,0.44,7,0,0,0,0,0,77d7c96f
484,Luke Thomas,eng ENG,DF,Leicester City,21-250,2001,7.7,13,1.69,9,2,0,1,0,1,2,0.26,1,0,0,1,0,0,fc027d02
485,Youri Tielemans,be BEL,MF,Leicester City,25-284,1997,18.3,60,3.28,48,3,1,6,1,1,3,0.16,2,0,0,1,0,0,56f7a928
486,Kieran Tierney,sct SCO,DF,Arsenal,25-255,1997,5.2,9,1.73,8,0,0,1,0,0,2,0.38,2,0,0,0,0,0,fce2302c
487,Harry Toffolo,eng ENG,DF,Nott'ham Forest,27-180,1995,6.8,17,2.5,12,3,1,0,0,1,0,0,0,0,0,0,0,0,a105d46a
488,Takehiro Tomiyasu,jp JPN,DF,Arsenal,24-102,1998,5.7,9,1.58,7,2,0,0,0,0,2,0.35,2,0,0,0,0,0,b3af9be1
489,James Tomkins,eng ENG,DF,Crystal Palace,33-323,1989,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,e7ca0439
490,Ivan Toney,eng ENG,FW,Brentford,26-336,1996,19.9,42,2.11,24,2,3,3,10,0,6,0.3,2,0,1,0,3,0,e09f279b
491,Adama Traoré,es ESP,FWMF,Wolves,27-021,1996,10,27,2.7,23,0,1,1,2,0,3,0.3,2,0,0,1,0,0,9a28eba4
492,Boubacar Traoré,ml MLI,MF,Wolves,21-179,2001,4.3,6,1.41,6,0,0,0,0,0,2,0.47,2,0,0,0,0,0,999ceb5f
493,Mark Travers,ie IRL,GK,Bournemouth,23-273,1999,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fe558029
494,Kieran Trippier,eng ENG,DF,Newcastle Utd,32-149,1990,21.7,107,4.93,47,56,0,1,2,1,7,0.32,6,1,0,0,0,0,21512407
495,Leandro Trossard,be BEL,FW,Arsenal,28-073,1994,0.8,4,5.14,3,0,0,1,0,0,0,0,0,0,0,0,0,0,38ceb24a
496,Leandro Trossard,be BEL,FWMF,Brighton,28-073,1994,14.6,51,3.49,39,0,7,4,1,0,9,0.62,5,0,3,0,1,0,38ceb24a
497,Kostas Tsimikas,gr GRE,DF,Liverpool,26-279,1996,5,19,3.82,7,10,0,2,0,0,3,0.6,2,1,0,0,0,0,f315ca93
498,Deniz Undav,de GER,FWMF,Brighton,26-211,1996,2.6,9,3.51,5,0,0,4,0,0,0,0,0,0,0,0,0,0,dd549382
499,Yan Valery,tn TUN,DF,Southampton,23-358,1999,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531a4aa8
500,Virgil van Dijk,nl NED,DF,Liverpool,31-222,1991,16.5,10,0.61,9,0,0,1,0,0,1,0.06,1,0,0,0,0,0,e06683ca
501,Raphaël Varane,fr FRA,DF,Manchester Utd,29-296,1993,14.4,10,0.69,6,1,0,2,0,1,0,0,0,0,0,0,0,0,9f8e9423
502,Jamie Vardy,eng ENG,FW,Leicester City,36-035,1987,13.1,19,1.46,15,0,2,2,0,0,5,0.38,5,0,0,0,0,0,45963054
503,Joël Veltman,nl NED,DF,Brighton,31-031,1992,15.3,21,1.38,18,2,0,0,0,1,2,0.13,2,0,0,0,0,0,dad4b285
504,Fabio Vieira,pt POR,MFFW,Arsenal,22-261,2000,3,9,2.96,6,1,1,1,0,0,2,0.66,2,0,0,0,0,0,6412cc03
505,Matías Viña,uy URU,MF,Bournemouth,25-098,1997,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08eb3b58
506,Rúben Vinagre,pt POR,DFMF,Everton,23-312,1999,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b937e490
507,Carlos Vinícius,br BRA,FW,Fulham,27-327,1995,4.8,7,1.44,7,0,0,0,0,0,2,0.41,2,0,0,0,0,0,8b529245
508,Theo Walcott,eng ENG,FWMF,Southampton,33-336,1989,1.5,5,3.21,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1ecb65be
509,Kyle Walker,eng ENG,DF,Manchester City,32-263,1990,9.8,15,1.53,15,0,0,0,0,0,2,0.2,2,0,0,0,0,0,86dd77d1
510,Kyle Walker-Peters,eng ENG,DF,Southampton,25-308,1997,15.6,29,1.86,20,2,3,2,2,0,2,0.13,1,1,0,0,0,0,984a5a64
511,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,25-081,1997,7,12,1.72,12,0,0,0,0,0,1,0.14,1,0,0,0,0,0,9e525177
512,Danny Ward,wls WAL,GK,Leicester City,29-238,1993,22,2,0.09,2,0,0,0,0,0,0,0,0,0,0,0,0,0,d3ce0e89
513,Joel Ward,eng ENG,DF,Crystal Palace,33-109,1989,14.4,7,0.49,5,0,1,0,1,0,0,0,0,0,0,0,0,0,8a7ff278
514,James Ward-Prowse,eng ENG,MF,Southampton,28-106,1994,22,77,3.5,34,41,1,1,0,0,5,0.23,2,1,1,1,0,0,3515d404
515,Ollie Watkins,eng ENG,FW,Aston Villa,27-047,1995,19.1,50,2.62,36,0,3,8,3,0,9,0.47,5,0,1,3,0,0,aed3a70f
516,Adam Webster,eng ENG,DF,Brighton,28-042,1995,13.9,10,0.72,9,1,0,0,0,0,1,0.07,1,0,0,0,0,0,c40b6180
517,Wout Weghorst,nl NED,FW,Manchester Utd,30-192,1992,4,11,2.72,9,0,0,1,0,1,2,0.49,2,0,0,0,0,0,c4e87b8b
518,Danny Welbeck,eng ENG,FW,Brighton,32-081,1990,12.7,30,2.36,21,0,2,2,4,1,7,0.55,4,0,1,0,2,0,ce5143da
519,Ben White,eng ENG,DF,Arsenal,25-130,1997,18.7,41,2.19,34,6,0,0,1,0,7,0.37,6,1,0,0,0,0,35e413f1
520,Harvey White,eng ENG,MF,Tottenham,21-149,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4d90ce8c
521,Neco Williams,wls WAL,DF,Nott'ham Forest,21-308,2001,13.5,28,2.07,18,4,3,1,0,2,2,0.15,1,0,0,1,0,0,dd323728
522,Willian,br BRA,FW,Fulham,34-190,1988,13.4,60,4.48,44,6,3,3,3,1,8,0.6,5,1,1,1,0,0,8b9ebd03
523,Joe Willock,eng ENG,MF,Newcastle Utd,23-179,1999,17.8,46,2.59,37,0,3,3,2,1,3,0.17,2,0,0,1,0,0,a3b03921
