index,player,nation,pos,squad,age,born,avg_90s_played,sca,Sca_90,pass_live,pass_dead,to,sh,fld,def,gca,Gca_90,pass_live_goa,pass_dead_goal,to_goal,sh_goal,fld_goal,def_goal,unique_id
295,Saša Lukić,rs SRB,MF,Fulham,26-186,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,c6e8cf1f
296,Lyanco,br BRA,DF,Southampton,26-014,1997,7.7,6,0.77,4,1,0,1,0,0,0,0,0,0,0,0,0,0,b5bf1770
297,Alexis Mac Allister,ar ARG,MF,Brighton,24-053,1998,17.2,43,2.5,31,6,2,2,1,1,4,0.23,4,0,0,0,0,0,83d074ff
298,James Maddison,eng ENG,MFFW,Leicester City,26-084,1996,14.1,65,4.6,41,12,3,3,4,2,7,0.49,6,1,0,0,0,0,ee38d9c5
299,Noni Madueke,eng ENG,FW,Chelsea,20-342,2002,1.2,2,1.61,1,0,1,0,0,0,0,0,0,0,0,0,0,0,bf34eebd
300,Harry Maguire,eng ENG,DF,Manchester Utd,29-347,1993,5.3,3,0.56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,d8931174
301,Riyad Mahrez,dz ALG,FWMF,Manchester City,31-359,1991,10.9,61,5.58,41,8,3,5,3,1,12,1.1,7,1,1,2,0,1,892d5bb1
302,Ainsley Maitland-Niles,eng ENG,MFDF,Southampton,25-170,1997,7,12,1.7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,e3a5814e
303,Tyrell Malacia,nl NED,DF,Manchester Utd,23-182,1999,10.1,4,0.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6b6c793c
304,Orel Mangala,be BEL,MF,Nott'ham Forest,24-334,1998,7.7,9,1.17,8,0,0,0,1,0,0,0,0,0,0,0,0,0,a572e291
305,Javier Manquillo,es ESP,DF,Newcastle Utd,28-286,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758dd7f0
306,Sekou Mara,fr FRA,FWMF,Southampton,20-200,2002,3.6,8,2.2,5,0,2,0,0,1,2,0.55,1,0,1,0,0,0,3544641e
307,Solly March,eng ENG,FWDF,Brighton,28-210,1994,20.1,79,3.93,54,5,8,6,4,2,7,0.35,6,0,0,1,0,0,bb5fbd2b
308,Emiliano Marcondes,dk DEN,MF,Bournemouth,27-343,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4d960fc3
