index,player,nation,pos,squad,age,born,avg_90s_played,sca,Sca_90,pass_live,pass_dead,to,sh,fld,sca_def,gca,Gca_90,pass_live_goa,pass_dead_goal,to_goal,sh_goal,fld_goal,def_goal,unique_id
228,Pierre Højbjerg,dk DEN,MF,Tottenham,27-235,1995,26.8,77,2.87,70,0,2,2,1,2,12,0.45,12,0,0,0,0,0,8b04d6c1
229,Kelechi Iheanacho,ng NGA,FWMF,Leicester City,26-176,1996,8.3,28,3.39,21,1,2,4,0,0,4,0.48,4,0,0,0,0,0,c92e1a31
230,Danny Ings,eng ENG,FW,West Ham,30-248,1992,3.7,4,1.09,4,0,0,0,0,0,1,0.27,1,0,0,0,0,0,07802f7f
231,Danny Ings,eng ENG,FW,Aston Villa,30-248,1992,9.2,16,1.75,12,0,2,2,0,0,1,0.11,0,0,1,0,0,0,07802f7f
232,Alexander Isak,se SWE,FW,Newcastle Utd,23-188,1999,6.9,13,1.88,9,0,0,3,0,1,1,0.14,0,0,0,1,0,0,8e92be30
233,Daniel Iversen,dk DEN,GK,Leicester City,25-252,1997,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10d221cd
234,Alex Iwobi,ng NGA,MFFW,Everton,26-329,1996,27.5,74,2.69,58,7,2,3,3,1,7,0.25,6,0,0,0,1,0,6ca5ec4b
235,Daniel James,wls WAL,FW,Leeds United,25-138,1997,2.2,4,1.82,3,0,0,0,1,0,0,0,0,0,0,0,0,0,c931d9f9
236,Daniel James,wls WAL,FW,Fulham,25-138,1997,4.2,8,1.91,7,0,0,0,1,0,0,0,0,0,0,0,0,0,c931d9f9
237,Reece James,eng ENG,DFMF,Chelsea,23-110,1999,10.4,32,3.06,23,4,3,1,1,0,3,0.29,2,0,0,0,1,0,1265a93a
238,Vitaly Janelt,de GER,MFDF,Brentford,24-322,1998,17.6,36,2.05,30,1,2,2,0,1,3,0.17,3,0,0,0,0,0,8449d35e
239,Pontus Jansson,se SWE,DF,Brentford,32-043,1991,5.9,1,0.17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,172e52d8
240,Mathias Jensen,dk DEN,MF,Brentford,27-086,1996,23,75,3.27,35,33,1,3,2,1,9,0.39,5,2,0,1,0,1,0f134faf
241,Gabriel Jesus,br BRA,FW,Arsenal,25-359,1997,14,58,4.15,27,1,10,8,9,3,7,0.5,5,0,0,1,1,0,b66315ae
242,Raúl Jiménez,mx MEX,FW,Wolves,31-327,1991,8.3,16,1.94,11,0,1,3,1,0,2,0.24,1,0,0,1,0,0,b561db50
243,Joelinton,br BRA,MFFW,Newcastle Utd,26-226,1996,20.6,56,2.72,39,1,5,4,7,0,5,0.24,3,1,0,0,1,0,c17bfb65
244,Ben Johnson,eng ENG,DF,West Ham,23-063,2000,8.3,8,0.97,7,0,1,0,0,0,0,0,0,0,0,0,0,0,9319781b
245,Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,21-309,2001,24.6,44,1.79,28,0,5,7,3,1,8,0.32,3,0,1,3,1,0,0cd31129
246,Curtis Jones,eng ENG,MFFW,Liverpool,22-057,2001,2.2,10,4.62,7,0,1,1,0,1,1,0.46,1,0,0,0,0,0,4fb9c88f
247,Jorginho,it ITA,MF,Arsenal,31-098,1991,3.9,8,2.03,7,0,0,0,0,1,1,0.25,1,0,0,0,0,0,45db685d
248,Jorginho,it ITA,MF,Chelsea,31-098,1991,14.2,29,2.04,29,0,0,0,0,0,2,0.14,2,0,0,0,0,0,45db685d
